#OTUID	taxonomy	confidence
03a7621d8738885d90b13d335ea62c34	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_sobrinus	0.9729732046333006
cb9918a19e47964c173c19fd3a86ab8c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Arachis_hypogaea	0.8204691676683329
df79558c3e7c06ceb3c88d6e60a42053	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	0.9999993702345058
531cc039d18765c63c372a697b36d9de	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia	0.9990953753203894
64a3e25457daf9012c8b6bde1bf20cdb	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus	0.9884277447910994
9fa1277a5074150f4a14f27ab6616bf4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.9997957140920005
124c00e4998bd75a9f11fe58cae9b876	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	0.9999999954554999
048d287323e5084fe98093b8ccd5aca6	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Hathewaya; s__Clostridium_sp.	0.9979287300197882
9845547811de0a468defab4c70a7a147	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9803465593270618
146ae334d51e681e6fc10c2367677d0b	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Vagococcaceae; g__Vagococcus	0.9954143639647963
8256cad1ee96cbe81810a8ced0c2c25c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.9955970747525437
3f896e1dfac35afabb1eddc269a48b7f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia	0.9970067416583259
4a70ff3ac29c337cc30701f6150cc454	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9999846280117035
a9500854b72592239778e4ec27ce1900	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9445693723053986
155c78f6effed923c77141ce1a7871a7	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Tepidimicrobium; s__Tepidimicrobium_sp.	0.84643641774018
